author/last_played,author/num_games_owned,author/num_reviews,author/playtime_at_review,author/playtime_forever,author/playtime_last_two_weeks,author/steamid,comment_count,hidden_in_steam_china,language,primarily_steam_deck,received_for_free,recommendationid,review,steam_purchase,timestamp_created,timestamp_updated,voted_up,votes_funny,votes_up,weighted_vote_score,written_during_early_access,sentiment,sentiment_category
1727479132,0,1,421,421,421,76561199781891902,0,TRUE,english,FALSE,FALSE,175910762,"     ?

    CS2   2     wallhack  - VAC  ,    ,   300+   vac-live  ,  DPI   .     $14.99. ..       ,        ...   Valve/Steam    Deadlock.    Counter-Strike: Global Offensive(2)    Source 2,      .        .           ,   .",TRUE,1727480318,1727480318,FALSE,1,0,0,FALSE,0,neutral
1727403904,131,11,54498,55013,1764,76561198112838192,0,TRUE,english,FALSE,FALSE,175488691," CSGO was a good game always had issues. When they converted the game to cs2 they took away the ability for us to play csgo and gave a subpar experience. The movement in cs2 is a lot clunkier the shooting doesnt feel as good and they took overwatch away which was really the only anti cheat system. Played the game for 10 years.

Pros it looks pretty good

cons runs terribly very stuttery
no anti cheat and tons of cheaters in ranked
bad movement feels floaty and jumping doesnt feel right
bad shooting mechanics doesnt feel as crisp",TRUE,1726953540,1726953540,FALSE,0,0,0,FALSE,0.048979591836734684,positive
1727469331,8,1,37562,37977,1068,76561199504038526,0,TRUE,english,FALSE,FALSE,175834080, dont play cs2,TRUE,1727381851,1727381851,TRUE,0,1,0.5238095521926879,FALSE,0,neutral
1666300166,140,3,90149,90149,0,76561198052987139,0,TRUE,english,FALSE,FALSE,175488785," FPS,     !",TRUE,1726953632,1726953632,TRUE,0,0,0,FALSE,0,neutral
1727496249,0,1,82414,82680,1090,76561199182090954,0,TRUE,english,FALSE,FALSE,175848893, game for hackers only. Steam dont give a f....k. FACEIT,TRUE,1727403269,1727403269,FALSE,0,0,0,FALSE,-0.2,negative
1727352469,0,2,5564,5748,2520,76561199095648729,0,TRUE,english,FALSE,FALSE,175739709, good game,TRUE,1727263549,1727263549,TRUE,0,0,0,FALSE,0.14999999999999997,positive
1727464741,0,1,1068,1784,1253,76561198261631125,0,TRUE,english,FALSE,FALSE,175614406," i like oit
too much haackers
",TRUE,1727099422,1727099422,TRUE,0,0,0,FALSE,0.2,positive
1726268423,31,8,3846,3846,0,76561199172395594,0,TRUE,english,FALSE,FALSE,175688200,"
---{ Graphics }---
 You forget what reality is
 Beautiful
 Good
 Decent
 Bad
 Dont look too long at it
 MS-DOS

---{ Gameplay }---
 Very good
 Good
 It's just gameplay
 Mehh
 Watch paint dry instead
 Just don't

---{ Audio }---
 Eargasm
 Very good
 Good
 Not too bad
 Bad
 I'm now deaf

---{ Audience }---
 Kids
 Teens
 Adults
 Grandma

---{ PC Requirements }---
 Check if you can run paint
 Potato
 Decent
 Fast
 Rich boi
 Ask NASA if they have a spare computer

---{ Game Size }---
 Floppy Disk
 Old Fashioned
 Workable
 Big
 Will eat 10% of your 1TB hard drive
 You will want an entire hard drive to hold it
 You will need to invest in a black hole to hold all the data

---{ Difficulty }---
 Just press 'W'
 Easy
 Easy to learn / Hard to master
 Significant brain usage
 Difficult
 Dark Souls

---{ Grind }---
 Nothing to grind
 Only if u care about leaderboards/ranks
 Isn't necessary to progress
 Average grind level
 Too much grind
 You'll need a second life for grinding

---{ Story }---
 No Story
 Some lore
 Average
 Good
 Lovely
 It'll replace your life

---{ Game Time }---
 Long enough for a cup of coffee
 Short
 Average
 Long
 To infinity and beyond

---{ Price }---
 It's free!
 Worth the price
 If it's on sale
 If u have some spare money left
 Not recommended
 You could also just burn your money

---{ Bugs }---
 Never heard of
 Minor bugs
 Can get annoying
 ARK: Survival Evolved
 The game itself is a big terrarium for bugs

---{ ? / 10 }---
 1
 2
 3
 4
 5
 6
 7
 8
 9
 10",TRUE,1727192785,1727192785,TRUE,0,0,0,FALSE,0.055340136,positive
1726578428,0,2,2817,2817,7,76561199428554012,0,TRUE,english,FALSE,FALSE,175596129,"
i like this game",TRUE,1727077072,1727077072,TRUE,0,0,0,FALSE,-0.4,negative
1727516225,0,1,1864,2219,825,76561199546918844,0,TRUE,english,FALSE,FALSE,175603747,"
good game",TRUE,1727087768,1727087768,TRUE,0,0,0,FALSE,0.14999999999999997,positive
